Name,Team,Nat,Age,Pos,Height,Weight,Apps(Subs),Mins,Goals,Assists,Yel,Red,SpG,PS%,AerWon,MoM,Tackles,Inter,Fouls,OffW,Clear,DrbPast,Blocks,OwnG,KeyP,Drb,Fouled,Off,Disp,UnsT,AvgP,Crosses,LongB,ThrB,Rat,Season
Raheem Sterling,MCFC,eng,25,"M(CLR),FW",170,69,29(4),2517,7,6,7,-,1.9,80.4,0.4,4,0.7,0.5,1.1,-,0.1,1,-,-,1.4,2.4,1.6,0.5,2.6,1.8,31.4,0.2,0.3,-,7.05,2016_2017
Gaël Clichy,MCFC,fr,35,D(L),176,65,24(1),2125,1,-,2,-,0.1,85.2,1.2,-,1.8,2.1,0.5,0.5,3.4,1,0.1,-,0.6,0.4,0.3,-,0.3,0.3,58.2,0.3,1.8,-,6.98,2016_2017
Bacary Sagna,MCFC,fr,37,D(CR),176,72,14(3),1345,-,1,2,-,0.2,88.7,2.3,-,1.4,1.2,0.2,0.2,2.8,0.4,0.2,-,0.5,0.2,0.5,0.1,0.2,0.5,48.9,0.2,1.3,-,6.93,2016_2017
John Stones,MCFC,eng,26,D(CR),188,70,23(4),2013,-,-,1,-,0.5,91.7,1.8,1,1,1.4,0.3,0.6,4.2,0.3,0.5,-,0.1,0.8,0.3,-,0.1,0.3,54.4,-,2.3,-,6.78,2016_2017
Pablo Zabaleta,MCFC,ar,35,"D(R),DMC,M(R)",176,74,11(9),1060,1,1,2,-,0.4,82.9,1.2,1,2.1,1.2,0.7,0.2,2.1,0.7,-,-,0.6,0.4,0.8,0.3,0.3,0.4,28.7,0.1,0.8,-,6.74,2016_2017
Willy Caballero,MCFC,ar,39,GK,186,81,16(1),1451,-,-,-,-,-,76.2,0.3,-,0.1,-,-,-,0.9,-,-,-,-,-,0.1,-,-,-,23,-,4.2,-,6.69,2016_2017
Nolito,MCFC,es,34,AM(CL),175,65,9(10),779,4,2,3,1,1.7,82.1,0.4,-,0.8,0.3,0.9,-,0.2,0.7,-,-,0.7,0.5,0.5,0.2,0.7,0.7,20.5,0.2,0.5,0.1,6.59,2016_2017
Fabian Delph,MCFC,eng,30,"D(L),M(CL)",174,60,2(5),220,1,-,1,-,0.9,93.3,0.6,-,1,1,0.9,-,0.6,0.4,0.1,-,0.3,0.3,0.7,-,0.3,0.4,32.1,-,0.4,-,6.56,2016_2017
Jesús Navas,MCFC,es,34,"D(R),M(R)",172,60,12(12),1059,-,-,2,-,0.3,83.5,0.4,-,0.8,0.9,0.3,-,0.5,0.5,-,-,0.8,0.6,0.5,0.1,0.4,0.6,24.2,0.7,1.1,-,6.53,2016_2017
Fernando,MCFC,br,33,DMC,183,76,5(10),560,-,-,3,-,0.1,88.5,1.2,-,1.4,0.9,0.7,-,2,0.6,-,-,0.2,0.1,0.5,-,0.1,0.3,24.9,-,1.1,-,6.52,2016_2017
Kelechi Iheanacho,MCFC,ng,24,"AM(C),FW",185,82,5(15),528,4,3,-,-,1.1,76.6,0.3,-,0.3,-,0.4,-,0.1,0.2,-,-,0.7,0.4,0.1,0.3,1,1,9.6,-,0.2,-,6.40,2016_2017
Claudio Bravo,MCFC,cl,37,GK,184,80,22,1969,-,-,-,-,-,72.6,0.2,-,-,-,-,-,0.8,0.2,-,-,-,0.1,0.1,-,-,-,30.2,-,4.5,-,6.38,2016_2017
Samir Nasri,MCFC,fr,33,M(CLR),175,75,0(1),16,-,-,-,-,3,90.9,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,11,-,1,-,6.34,2016_2017
Aleix García,MCFC,es,23,DMC,173,68,1(3),76,-,-,-,-,-,92.8,0.3,-,0.8,1,-,-,-,0.3,-,-,0.3,-,1,-,0.3,0.8,24.3,-,1,-,6.26,2016_2017
Nicolás Otamendi,MCFC,ar,32,D(C),183,81,30,2672,1,-,9,-,0.9,84.1,3,4,3,3.5,1,0.8,7,1.4,0.4,-,0.2,0.4,1,-,0.2,0.4,52.3,-,3.2,-,7.47,2015_2016
Kevin De Bruyne,MCFC,be,29,"M(CLR),FW",181,68,22(3),2004,7,9,2,-,2,78.3,0.5,4,1.1,0.7,0.6,-,0.5,1.9,-,-,3.2,1.4,0.7,0.3,1.4,1.7,45.1,1.9,1.9,0.2,7.45,2015_2016
Sergio Agüero,MCFC,ar,32,"AM(CL),FW",173,70,29(1),2375,24,2,1,-,4,84.7,0.3,5,0.5,0.2,0.7,-,-,0.6,-,-,0.9,2.2,1.2,0.9,3.4,2,24.2,0.1,0.5,-,7.39,2015_2016
Vincent Kompany,MCFC,be,34,D(C),193,85,13(1),1179,2,-,5,-,0.8,82.9,2.5,-,1.4,1.6,1.1,0.7,5.6,0.5,0.3,-,0.2,0.5,0.2,-,0.1,0.3,48.4,-,3.9,-,7.28,2015_2016
David Silva,MCFC,es,34,M(CLR),173,67,22(2),1802,2,11,1,-,1.2,86.4,0.4,2,1.5,0.7,0.8,-,0.1,1.5,-,-,2.8,1.3,1.4,-,2.4,0.8,57.8,1.4,2.1,0.2,7.28,2015_2016
Gaël Clichy,MCFC,fr,35,D(L),176,65,12(2),1088,-,1,-,-,0.1,81.4,0.9,-,2,3.6,0.7,0.4,2.9,0.9,0.2,-,0.9,1.1,0.4,-,0.6,0.6,49.5,0.6,2.1,-,7.24,2015_2016
Yaya Touré,MCFC,ci,37,M(C),188,90,28(4),2335,6,5,3,-,2.4,86.5,0.9,2,1.3,0.8,0.8,-,1.1,1.3,0.1,-,1.4,1.8,0.8,0.1,1.4,0.8,57.4,0.1,3.4,0.4,7.22,2015_2016
Fernandinho,MCFC,br,35,"D(CR),DMC",179,67,31(2),2732,2,2,8,-,0.9,87.4,1.3,2,3.2,1.7,1.7,0.2,1.3,1.8,0.2,-,0.9,0.9,1,-,1,0.8,56.7,0.1,2.5,-,7.17,2015_2016
Aleksandar Kolarov,MCFC,rs,34,"D(CL),M(L)",187,81,25(4),2282,3,3,3,-,1.3,78.7,1.6,1,1.2,1.6,0.7,0.2,2.4,0.7,0.3,-,1.3,0.8,1.1,0.1,0.5,0.8,46.9,1.4,2.2,-,7.14,2015_2016
Bacary Sagna,MCFC,fr,37,D(CR),176,72,27(1),2448,-,3,4,-,0.2,82.7,3.1,1,1.8,1.8,0.6,0.4,3.5,0.7,0.3,-,1,0.2,0.5,-,0.4,0.5,56.7,0.7,1.9,-,7.12,2015_2016
Pablo Zabaleta,MCFC,ar,35,"D(R),DMC,M(R)",176,74,12(1),1062,-,1,3,-,0.2,85,1.4,-,3.3,1.9,1.2,0.1,2.7,1.3,0.2,-,0.2,0.2,0.7,0.2,0.7,0.4,44.2,-,1,-,6.97,2015_2016
