Name,Position,Team,Salary,Season
Mathieu Debuchy,Defender,AFC,"£3,900,000",2015_2016
Branislav Ivanovic,Defender,CFC,"£3,900,000",2015_2016
Danny Ings,Forward,LFC,"£3,900,000",2015_2016
Lucas Leiva,Midfielder,LFC,"£3,900,000",2015_2016
Daley Blind,Defender,MUFC,"£3,900,000",2015_2016
Phil Jones,Defender,MUFC,"£3,900,000",2015_2016
Thomas Vermaelen,Defender,AFC,"£3,642,444",2015_2016
Per Mertesacker,Defender,AFC,"£3,640,000",2015_2016
Kevin Mirallas,Forward,EFC,"£3,640,000",2015_2016
Nathaniel Clyne,Defender,LFC,"£3,640,000",2015_2016
Chris Smalling,Defender,MUFC,"£3,640,000",2015_2016
Jonjo Shelvey,Midfielder,NUFC,"£3,640,000",2015_2016
Jermain Defoe,Forward,SUFC,"£3,640,000",2015_2016
Charlie Austin,Forward,SFC,"£3,640,000",2015_2016
Aleksandar Kolarov,Defender,MCFC,"£3,588,000",2015_2016
Philippe Coutinho,Midfielder,LFC,"£3,488,333",2015_2016
Nacho Monreal,Defender,AFC,"£3,380,000",2015_2016
Alex Oxlade-Chamberlain,Midfielder,AFC,"£3,380,000",2015_2016
Adam Lallana,Midfielder,LFC,"£3,380,000",2015_2016
Dejan Lovren,Defender,LFC,"£3,380,000",2015_2016
Sergio Romero,Goalkeeper,MUFC,"£3,380,000",2015_2016
Mame Diouf,Forward,SCFC,"£3,380,000",2015_2016
Xherdan Shaqiri,Midfielder,SCFC,"£3,380,000",2015_2016
Jonny Evans,Defender,WAT,"£3,380,000",2015_2016
Marko Marin,Midfielder,CFC,"£3,231,767",2015_2016
Leighton Baines,Defender,EFC,"£3,167,996",2015_2016
Ramires Santos do Nascimento,Midfielder,CFC,"£3,126,458",2015_2016
Laurent Koscielny,Defender,AFC,"£3,120,000",2015_2016
César Azpilicueta,Defender,CFC,"£3,120,000",2015_2016
Asmir Begovic,Goalkeeper,CFC,"£3,120,000",2015_2016
Thibaut Courtois,Goalkeeper,CFC,"£3,120,000",2015_2016
Scott Dann,Defender,CP,"£3,120,000",2015_2016
Connor Wickham,Forward,CP,"£3,120,000",2015_2016
Gareth Barry,Midfielder,EFC,"£3,120,000",2015_2016
Aleksandar Mitrovic,Forward,NUFC,"£3,120,000",2015_2016
Jose Salomon Rondon,Forward,WBAFC,"£3,120,000",2015_2016
Angelo Ogbonna,Defender,WHUFC,"£3,120,000",2015_2016
Winston Reid,Defender,WHUFC,"£3,120,000",2015_2016
Bakary Sako,Midfielder,CP,"£2,860,000",2015_2016
Oumar Niasse,Forward,EFC,"£2,860,000",2015_2016
Simon Mignolet,Goalkeeper,LFC,"£2,860,000",2015_2016
Jay Rodriguez,Forward,SFC,"£2,860,000",2015_2016
Mousa Dembele,Midfielder,THFC,"£2,860,000",2015_2016
Libor Kozak,Forward,AVFC,"£2,775,000",2015_2016
Hector Bellerin,Defender,AFC,"£2,600,000",2015_2016
Victor Moses,Defender,CFC,"£2,600,000",2015_2016
James McArthur,Midfielder,CP,"£2,600,000",2015_2016
Tom Cleverley,Midfielder,EFC,"£2,600,000",2015_2016
Phil Jagielka,Defender,EFC,"£2,600,000",2015_2016
Aaron Lennon,Forward,EFC,"£2,600,000",2015_2016
James McCarthy,Midfielder,EFC,"£2,600,000",2015_2016
Lukasz Fabianski,Goalkeeper,SWFC,"£2,600,000",2015_2016
Jordy Clasie,Midfielder,SFC,"£2,600,000",2015_2016
Giannelli Imbula,Midfielder,SCFC,"£2,600,000",2015_2016
Harry Kane,Forward,THFC,"£2,600,000",2015_2016
Mark Noble,Midfielder,WHUFC,"£2,600,000",2015_2016
Pedro Obiang,Midfielder,WHUFC,"£2,600,000",2015_2016
Mohamed Elneny,Midfielder,AFC,"£2,574,000",2015_2016
Ross Barkley,Midfielder,EFC,"£2,496,000",2015_2016
Gerard Deulofeu,Forward,EFC,"£2,496,000",2015_2016
Adnan Januzaj,Forward,MUFC,"£2,496,000",2015_2016
Bojan Krkic,Midfielder,SCFC,"£2,496,000",2015_2016
Calum Chambers,Defender,AFC,"£2,340,000",2015_2016
Carl Jenkinson,Defender,AFC,"£2,340,000",2015_2016
Victor Moses,Defender,CFC,"£2,340,000",2015_2016
Danny Drinkwater,Midfielder,LC,"£2,340,000",2015_2016
Emre Can,Midfielder,LFC,"£2,340,000",2015_2016
Matteo Darmian,Defender,MUFC,"£2,340,000",2015_2016
Ayoze Perez,Forward,NUFC,"£2,340,000",2015_2016
Ryan Shawcross,Defender,SCFC,"£2,340,000",2015_2016
Philipp Wollscheid,Defender,SCFC,"£2,340,000",2015_2016
Federico Fazio,Defender,THFC,"£2,340,000",2015_2016
Nordin Amrabat,Forward,WAT,"£2,340,000",2015_2016
Kieran Gibbs,Defender,AFC,"£2,253,333",2015_2016
Federico Fernandez,Defender,SCAFC,"£2,236,000",2015_2016
Andreas Andreas Weimann,Forward,AVFC,"£2,230,735",2015_2016
Kurt Zouma,Defender,CFC,"£2,200,000",2015_2016
Aiden McGeady,Forward,EFC,"£2,184,000",2015_2016
Valon Behrami,Midfielder,WAT,"£2,184,000",2015_2016
Ryan Bertrand,Defender,CFC,"£2,084,305",2015_2016
David Ospina,Goalkeeper,AFC,"£2,080,000",2015_2016
Ramiro Funes Mori,Defender,EFC,"£2,080,000",2015_2016
Yohan Benalouane,Defender,LC,"£2,080,000",2015_2016
Alberto Moreno,Defender,LFC,"£2,080,000",2015_2016
Siem de Jong,Midfielder,NUFC,"£2,080,000",2015_2016
Mario Suarez,Midfielder,WAT,"£2,080,000",2015_2016
Enner Valencia,Forward,WHUFC,"£2,080,000",2015_2016
Jores Okore,Defender,AVFC,"£2,075,000",2015_2016
Seamus Coleman,Defender,EFC,"£1,976,000",2015_2016
Robert Huth,Defender,LC,"£1,976,000",2015_2016
Erik Pieters,Defender,SCFC,"£1,976,000",2015_2016
Clinton Njie,Forward,THFC,"£1,976,000",2015_2016
Shay Given,Goalkeeper,AVFC,"£1,960,000",2015_2016
Sung-Yeung Ki,Midfielder,SCAFC,"£1,872,000",2015_2016
Wayne Routledge,Midfielder,SCAFC,"£1,872,000",2015_2016
Andrew Surman,Midfielder,BOU,"£1,820,000",2015_2016
Andreas Christensen,Defender,CFC,"£1,820,000",2015_2016
Fraizer Campbell,Forward,CP,"£1,820,000",2015_2016
Jason Puncheon,Midfielder,CP,"£1,820,000",2015_2016
Wilfried Zaha,Forward,CP,"£1,820,000",2015_2016
Shinji Okazaki,Forward,LC,"£1,820,000",2015_2016
Lazar Markovic,Forward,LFC,"£1,820,000",2015_2016
Vurnon Anita,Defender,NUFC,"£1,820,000",2015_2016
Jack Colback,Midfielder,NUFC,"£1,820,000",2015_2016
Yoan Gouffran,Midfielder,NUFC,"£1,820,000",2015_2016
Chancel Mbemba,Defender,NUFC,"£1,820,000",2015_2016
Emmanuel Rivière,Forward,NUFC,"£1,820,000",2015_2016
Henri Saivet,Midfielder,NUFC,"£1,820,000",2015_2016
Charlie Adam,Midfielder,SCFC,"£1,820,000",2015_2016
Jack Butland,Goalkeeper,SCFC,"£1,820,000",2015_2016
Jack Cork,Midfielder,SCAFC,"£1,820,000",2015_2016
Kieran Trippier,Defender,THFC,"£1,820,000",2015_2016
Étienne Capoue,Midfielder,WAT,"£1,820,000",2015_2016
James Collins,Defender,WHUFC,"£1,820,000",2015_2016
Stephen Ireland,Midfielder,SCFC,"£1,716,000",2015_2016
Joselu Mato,Forward,SCFC,"£1,716,000",2015_2016
Marc Muniesa,Defender,SCFC,"£1,716,000",2015_2016
Jon Flanagan,Defender,LFC,"£1,710,000",2015_2016
Kyle Naughton,Defender,SCAFC,"£1,664,000",2015_2016
Nabil Bentaleb,Midfielder,THFC,"£1,664,000",2015_2016
Phil Bardsley,Defender,SCFC,"£1,612,000",2015_2016
Josh McEachran,Midfielder,CFC,"£1,563,229",2015_2016
Simon Francis,Defender,BOU,"£1,560,000",2015_2016
Joel Campbell,Forward,AFC,"£1,560,000",2015_2016
Francis Coquelin,Midfielder,AFC,"£1,560,000",2015_2016
Alex Iwobi,Forward,AFC,"£1,560,000",2015_2016
Brad Guzan,Goalkeeper,AVFC,"£1,560,000",2015_2016
Andreas Weimann,Forward,AVFC,"£1,560,000",2015_2016
Pape Souare,Defender,CP,"£1,560,000",2015_2016
Adam Bogdan,Goalkeeper,LFC,"£1,560,000",2015_2016
Florin Gardos,Defender,SFC,"£1,560,000",2015_2016
Glen Johnson,Defender,SCFC,"£1,560,000",2015_2016
Jordi Amat,Defender,SCAFC,"£1,560,000",2015_2016
Jose Holebas,Defender,WAT,"£1,560,000",2015_2016
Craig Dawson,Defender,WBAFC,"£1,560,000",2015_2016
Sam Byram,Defender,WHUFC,"£1,560,000",2015_2016
Cheikhou Kouyate,Midfielder,WHUFC,"£1,560,000",2015_2016
Diafra Sakho,Forward,WHUFC,"£1,560,000",2015_2016
Muhamed Besic,Midfielder,EFC,"£1,538,333",2015_2016
Lewis Grabban,Forward,BOU,"£1,508,000",2015_2016
Joe Bennett,Defender,AVFC,"£1,472,500",2015_2016
Jordon Mutch,Midfielder,CP,"£1,456,000",2015_2016
Luke Garbutt,Defender,EFC,"£1,456,000",2015_2016
Divock Origi,Forward,LFC,"£1,456,000",2015_2016
Maya Yoshida,Defender,SFC,"£1,456,000",2015_2016
Callum McManaman,Forward,WBAFC,"£1,456,000",2015_2016
Leonardo Ulloa,Forward,LC,"£1,404,000",2015_2016
Toni Luna,Defender,AVFC,"£1,366,667",2015_2016
Marc Pugh,Midfielder,BOU,"£1,300,000",2015_2016
Charlie Daniels,Defender,BOU,"£1,300,000",2015_2016
Andre Gray,Forward,BFC,"£1,300,000",2015_2016
Robert Kenedy,Midfielder,CFC,"£1,300,000",2015_2016
Martin Kelly,Defender,CP,"£1,300,000",2015_2016
Joe Ledley,Midfielder,CP,"£1,300,000",2015_2016
Chung-Yong Lee,Forward,CP,"£1,300,000",2015_2016
Mason Holgate,Defender,EFC,"£1,300,000",2015_2016
Matty James,Midfielder,LC,"£1,300,000",2015_2016
Demarai Gray,Forward,LC,"£1,300,000",2015_2016
Jason Denayer,Defender,MCFC,"£1,300,000",2015_2016
Bruno Zuculini,Midfielder,MCFC,"£1,300,000",2015_2016
Karl Darlow,Goalkeeper,NUFC,"£1,300,000",2015_2016
Jonathan Walters,Forward,SCFC,"£1,300,000",2015_2016
Dele Alli,Midfielder,THFC,"£1,300,000",2015_2016
Miguel Britos,Defender,WAT,"£1,300,000",2015_2016
Heurelho Gomes,Goalkeeper,WAT,"£1,300,000",2015_2016
Costel Pantilimon,Goalkeeper,WAT,"£1,300,000",2015_2016
Michail Antonio,Midfielder,WHUFC,"£1,300,000",2015_2016
Benik Afobe,Forward,BOU,"£1,263,600",2015_2016
Aleksandar Tonev,Midfielder,AVFC,"£1,225,000",2015_2016
Ashley Westwood,Midfielder,AVFC,"£1,220,000",2015_2016
Scott Arfield,Midfielder,BFC,"£1,196,000",2015_2016
Tomas Kalas,Defender,CFC,"£1,196,000",2015_2016
Brendan Galloway,Defender,EFC,"£1,196,000",2015_2016
Michael Keane,Defender,BFC,"£1,144,000",2015_2016
Dean Marney,Midfielder,BFC,"£1,144,000",2015_2016
James Tarkowski,Defender,BFC,"£1,144,000",2015_2016
Steven Berghuis,Forward,WAT,"£1,144,000",2015_2016
Emiliano Martinez,Goalkeeper,AFC,"£1,126,667",2015_2016
Joe Cole,Midfielder,AVFC,"£1,100,000",2015_2016
Daniel Amartey,Midfielder,LC,"£1,092,000",2015_2016
Leandro Bacuna,Midfielder,AVFC,"£1,073,333",2015_2016
Nathan Ake,Defender,CFC,"£1,042,153",2015_2016
Dan Gosling,Midfielder,BOU,"£1,040,000",2015_2016
Callum Wilson,Forward,BOU,"£1,040,000",2015_2016
Yaya Sanogo,Forward,AFC,"£1,040,000",2015_2016
Tomer Hemed,Forward,BHA,"£1,040,000",2015_2016
Uwe Hunemeier,Defender,BHA,"£1,040,000",2015_2016
Jamie Murphy,Forward,BHA,"£1,040,000",2015_2016
Liam Rosenior,Defender,BHA,"£1,040,000",2015_2016
Jiri Skalak,Forward,BHA,"£1,040,000",2015_2016
George Boyd,Midfielder,BFC,"£1,040,000",2015_2016
Lewis Baker,Midfielder,CFC,"£1,040,000",2015_2016
Kasey Palmer,Midfielder,CFC,"£1,040,000",2015_2016
Zeki Fryers,Defender,CP,"£1,040,000",2015_2016
Wayne Hennessey,Goalkeeper,CP,"£1,040,000",2015_2016
Joel Robles,Goalkeeper,EFC,"£1,040,000",2015_2016
Sean Scannell,Forward,HUD,"£1,040,000",2015_2016
Andreas Pereira,Midfielder,MUFC,"£1,040,000",2015_2016
James Wilson,Forward,MUFC,"£1,040,000",2015_2016
Sammy Ameobi,Midfielder,NUFC,"£1,040,000",2015_2016
Paul Dummett,Defender,NUFC,"£1,040,000",2015_2016
Massadio Haidara,Defender,NUFC,"£1,040,000",2015_2016
Harry Winks,Midfielder,THFC,"£1,040,000",2015_2016
Abdoulaye Doucouré,Midfielder,WAT,"£1,040,000",2015_2016
Sebastian Prodl,Defender,WAT,"£1,040,000",2015_2016
Yacouba Sylla,Midfielder,AVFC,"£982,500",2015_2016
Danny Ward,Goalkeeper,LFC,"£936,000",2015_2016
Paulo Gazzaniga,Goalkeeper,SFC,"£936,000",2015_2016
Sam Vokes,Forward,BFC,"£884,000",2015_2016
Michael Hector,Defender,CFC,"£884,000",2015_2016
Tyrone Mings,Defender,BOU,"£832,000",2015_2016
Rhoys Wiggins,Defender,BOU,"£832,000",2015_2016
Kevin Stewart,Midfielder,LFC,"£832,000",2015_2016
Tommie Hoban,Defender,WAT,"£832,000",2015_2016
Ciaran Clark,Defender,AVFC,"£780,000",2015_2016
David Stockdale,Goalkeeper,BHA,"£780,000",2015_2016
Rouwen Hennings,Forward,BFC,"£780,000",2015_2016
Matt Miazga,Defender,CFC,"£780,000",2015_2016
Jonny Williams,Midfielder,CP,"£780,000",2015_2016
Shani Tarashaj,Forward,EFC,"£780,000",2015_2016
Joe Gomez,Defender,LFC,"£780,000",2015_2016
Ruben Sobrino,Forward,MCFC,"£780,000",2015_2016
Jamaal Lascelles,Defender,NUFC,"£780,000",2015_2016
Kyle Bartley,Defender,SCAFC,"£780,000",2015_2016
Juan Carlos Paredes,Defender,WAT,"£780,000",2015_2016
Doneil Henry,Defender,WHUFC,"£780,000",2015_2016
Craig Cathcart,Defender,WAT,"£676,000",2015_2016
Obbi Oulare,Forward,WAT,"£676,000",2015_2016
Adam Smith,Defender,BOU,"£624,000",2015_2016
Fredrik Ulvestad,Midfielder,BFC,"£624,000",2015_2016
Charly Musonda,Midfielder,CFC,"£624,000",2015_2016
Ben Hamer,Goalkeeper,LC,"£624,000",2015_2016
Curtis Good,Defender,NUFC,"£624,000",2015_2016
Sam Gallagher,Forward,SFC,"£624,000",2015_2016
Harrison Reed,Midfielder,SFC,"£624,000",2015_2016
Jack Stephens,Defender,SFC,"£624,000",2015_2016
Artur Boruc,Goalkeeper,BOU,"£520,000",2015_2016
Nathan Baker,Defender,AVFC,"£520,000",2015_2016
Nicklas Helenius,Forward,AVFC,"£520,000",2015_2016
Tendayi Darikwa,Defender,BFC,"£520,000",2015_2016
Joe Lolley,Forward,HUD,"£520,000",2015_2016
Jordon Ibe,Midfielder,LFC,"£520,000",2015_2016
Sheyi Ojo,Forward,LFC,"£520,000",2015_2016
Patrick Roberts,Forward,MCFC,"£520,000",2015_2016
Matt Targett,Defender,SFC,"£520,000",2015_2016
Jakob Haugaard,Goalkeeper,SCFC,"£520,000",2015_2016
Matt Grimes,Midfielder,SCAFC,"£520,000",2015_2016
Giedrius Arlauskis,Goalkeeper,WAT,"£520,000",2015_2016
Stuart O'Keefe,Midfielder,CCFC,"£500,500",2015_2016
Kazenga Lualua,Midfielder,BHA,"£468,000",2015_2016
Richie Towell,Forward,BHA,"£416,000",2015_2016
Jamal Blackman,Goalkeeper,CFC,"£416,000",2015_2016
Nahki Wells,Forward,HUD,"£416,000",2015_2016
Dominic Iorfa,Defender,WWFC,"£416,000",2015_2016
Jed Steer,Goalkeeper,AVFC,"£378,750",2015_2016
Junior Stanislas,Midfielder,BOU,"£364,000",2015_2016
Rohan Ince,Midfielder,BHA,"£364,000",2015_2016
Elvis Manu,Forward,BHA,"£364,000",2015_2016
Dominic Solanke,Forward,CFC,"£364,000",2015_2016
Steve Cook,Defender,BOU,"£312,000",2015_2016
Tammy Abraham,Forward,CFC,"£312,000",2015_2016
Cristian Cuevas,Defender,CFC,"£312,000",2015_2016
Tom Davies,Midfielder,EFC,"£312,000",2015_2016
Josh Cullen,Midfielder,WHUFC,"£277,333",2015_2016
Harry Arter,Midfielder,BOU,"£260,000",2015_2016
Matt Macey,Goalkeeper,AFC,"£260,000",2015_2016
Nathaniel Chalobah,Midfielder,CFC,"£260,000",2015_2016
Jason Davidson,Defender,HUD,"£260,000",2015_2016
Jordi Hiwula,Forward,HUD,"£260,000",2015_2016
Dean Whitehead,Midfielder,HUD,"£260,000",2015_2016
Tosin Adarabioyo,Defender,MCFC,"£260,000",2015_2016
Aleix Garcia,Midfielder,MCFC,"£260,000",2015_2016
Pablo Maffeo,Defender,MCFC,"£260,000",2015_2016
Josh Harrop,Midfielder,MUFC,"£260,000",2015_2016
Joel Castro Pereira,Goalkeeper,MUFC,"£260,000",2015_2016
Ivan Toney,Forward,NUFC,"£260,000",2015_2016
Oliver McBurnie,Forward,SCAFC,"£260,000",2015_2016
Joshua Onomah,Midfielder,THFC,"£260,000",2015_2016
Gabriel Paulista,Defender,AFC,"£227,500",2015_2016
Krystian Bielik,Defender,AFC,"£208,000",2015_2016
Chris Long,Forward,BFC,"£208,000",2015_2016
Harry Bunn,Forward,HUD,"£208,000",2015_2016
Harry Wilson,Midfielder,LFC,"£208,000",2015_2016
Kenji Gorre,Forward,SCAFC,"£208,000",2015_2016
Baily Cargill,Defender,BOU,"£156,000",2015_2016
Kyle Scott,Midfielder,CFC,"£156,000",2015_2016
Sullay Kaikai,Midfielder,CP,"£156,000",2015_2016
Matthew Pennington,Defender,EFC,"£156,000",2015_2016
Tom Lawrence,Forward,LC,"£156,000",2015_2016
Cameron Brannagan,Midfielder,LFC,"£156,000",2015_2016
Harry Souttar,Defender,SCFC,"£156,000",2015_2016
Reece Burke,Defender,WHUFC,"£156,000",2015_2016
Ryan Fraser,Midfielder,BOU,"£104,000",2015_2016
Jeff Reine-Adelaide,Midfielder,AFC,"£104,000",2015_2016
Tren Alexander-Arnold,Defender,LFC,"£104,000",2015_2016
Connor Randall,Defender,LFC,"£104,000",2015_2016
Alex Palmer,Goalkeeper,WBAFC,"£104,000",2015_2016
Sebastien Pocognoli,Defender,WBAFC,"£104,000",2015_2016
Josh Dasilva,Forward,AFC,"£52,000",2015_2016
Henrik Bjordal,Forward,BHA,"£52,000",2015_2016
Flo Bojaj,Forward,HUD,"£52,000",2015_2016
Luke Brattan,Midfielder,MCFC,"£52,000",2015_2016
Will Wood,Defender,SFC,"£41,600",2015_2016
Harry Cornick,Midfielder,BOU,"£39,000",2015_2016
Dan Agyei,Forward,BFC,"£36,400",2015_2016
Matt Butcher,Midfielder,BOU,"£31,200",2015_2016
Jack Simpson,Defender,BOU,"£31,200",2015_2016
Tim Krul,Goalkeeper,NUFC,£0,2015_2016
Wayne Rooney,Forward,MUFC,"£15,600,000",2016_2017
Paul Pogba,Midfielder,MUFC,"£15,080,000",2016_2017
Eden Hazard,Midfielder,CFC,"£11,700,000",2016_2017
Sergio Aguero,Forward,MCFC,"£11,440,000",2016_2017
Yaya Toure,Midfielder,MCFC,"£11,440,000",2016_2017
Zlatan Ibrahimovic,Forward,MUFC,"£11,440,000",2016_2017
David De Gea,Goalkeeper,MUFC,"£10,400,000",2016_2017
Diego Costa,Forward,CFC,"£9,620,000",2016_2017
David Silva,Midfielder,MCFC,"£8,320,000",2016_2017
Juan Mata,Midfielder,MUFC,"£8,320,000",2016_2017
Cesc Fàbregas,Midfielder,CFC,"£8,112,000",2016_2017
Oscar,Midfielder,CFC,"£7,917,266",2016_2017
John Terry,Defender,CFC,"£7,800,000",2016_2017
Philippe Coutinho,Midfielder,LFC,"£7,800,000",2016_2017
Kevin De Bruyne,Midfielder,MCFC,"£7,800,000",2016_2017
Vincent Kompany,Defender,MCFC,"£7,800,000",2016_2017
Raheem Sterling,Forward,MCFC,"£7,800,000",2016_2017
Henrikh Mkhitaryan,Midfielder,MUFC,"£7,800,000",2016_2017
Branislav Ivanovic,Defender,CFC,"£7,480,000",2016_2017
Mesut Ozil,Midfielder,AFC,"£7,280,000",2016_2017
Alexis Sanchez,Forward,AFC,"£7,280,000",2016_2017
Theo Walcott,Forward,AFC,"£7,280,000",2016_2017
James Milner,Midfielder,LFC,"£7,280,000",2016_2017
Ilkay Gundogan,Midfielder,MCFC,"£7,280,000",2016_2017
Daniel Sturridge,Forward,LFC,"£6,760,000",2016_2017
Danny Welbeck,Forward,AFC,"£6,500,000",2016_2017
Willian da Silva,Midfielder,CFC,"£6,240,000",2016_2017
Thibaut Courtois,Goalkeeper,CFC,"£6,240,000",2016_2017
N'Golo Kante,Midfielder,CFC,"£6,240,000",2016_2017
David Luiz,Defender,CFC,"£6,240,000",2016_2017
Christian Benteke,Forward,CP,"£6,240,000",2016_2017
Nicolas Otamendi,Defender,MCFC,"£6,240,000",2016_2017
Ashley Young,Midfielder,MUFC,"£6,240,000",2016_2017
Ander Herrera,Midfielder,MUFC,"£5,980,000",2016_2017
Aaron Ramsey,Midfielder,AFC,"£5,720,000",2016_2017
Hector Bellerin,Defender,AFC,"£5,720,000",2016_2017
Anthony Martial,Forward,MUFC,"£5,720,000",2016_2017
Marcos Rojo,Defender,MUFC,"£5,720,000",2016_2017
Luke Shaw,Defender,MUFC,"£5,720,000",2016_2017
Santi Cazorla,Midfielder,AFC,"£5,200,000",2016_2017
Petr Cech,Goalkeeper,AFC,"£5,200,000",2016_2017
César Azpilicueta,Defender,CFC,"£5,200,000",2016_2017
Gary Cahill,Defender,CFC,"£5,200,000",2016_2017
Pedro Rodríguez Ledesma,Midfielder,CFC,"£5,200,000",2016_2017
Morgan Schneiderlin,Midfielder,EFC,"£5,200,000",2016_2017
Riyad Mahrez,Forward,LC,"£5,200,000",2016_2017
Jamie Vardy,Forward,LC,"£5,200,000",2016_2017
Roberto Firmino,Forward,LFC,"£5,200,000",2016_2017
Jordan Henderson,Midfielder,LFC,"£5,200,000",2016_2017
Joel Matip,Defender,LFC,"£5,200,000",2016_2017
Fernandinho Luis Roza,Midfielder,MCFC,"£5,200,000",2016_2017
Fernando Reges,Midfielder,MCFC,"£5,200,000",2016_2017
John Stones,Defender,MCFC,"£5,200,000",2016_2017
Harry Kane,Forward,THFC,"£5,200,000",2016_2017
Hugo Lloris,Goalkeeper,THFC,"£5,200,000",2016_2017
Nolito,Forward,MCFC,"£4,940,000",2016_2017
Olivier Giroud,Forward,AFC,"£4,766,667",2016_2017
Jack Wilshere,Midfielder,BOU,"£4,680,000",2016_2017
Laurent Koscielny,Defender,AFC,"£4,680,000",2016_2017
Per Mertesacker,Defender,AFC,"£4,680,000",2016_2017
Shkodran Mustafi,Defender,AFC,"£4,680,000",2016_2017
Granit Xhaka,Midfielder,AFC,"£4,680,000",2016_2017
Marcos Alonso,Defender,CFC,"£4,680,000",2016_2017
Michy Batshuayi,Forward,CFC,"£4,680,000",2016_2017
Danny Drinkwater,Midfielder,LC,"£4,680,000",2016_2017
Sadio Mane,Forward,LFC,"£4,680,000",2016_2017
